                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0085,                 2.2997,                 3.0659,                 1.5367,                0.00267,                    0.8,                0.15906,                0.04883,                  0.001,                    0.3,                0.00206,                0.00022,                 2.6303,                 13.263,                 3.7135,                 4.0596,                 0.0982,                 0.0002,                 0.0002
                      2,                 1.1939,                 2.0758,                 2.1604,                 1.5531,                0.00546,                    0.5,                0.04253,                0.01317,                      0,                      0,                      0,                      0,                 3.0647,                 29.407,                 3.6324,                  4.534,               0.095451,              0.0004505,              0.0004505
                      3,                 1.3418,                 2.1126,                 1.9445,                 1.8549,                0.00667,                    0.8,                0.02597,                 0.0087,                      0,                      0,                      0,                      0,                 2.8039,                 62.736,                 3.3571,                 4.8502,               0.092642,              0.0006416,              0.0006416
                      4,                  1.069,                 1.6602,                 1.7025,                 1.3927,                0.00709,                    0.9,                0.09107,                0.02901,                0.00079,                    0.1,                0.00047,                0.00014,                 2.3648,                 49.263,                 3.2556,                 4.6585,               0.089773,              0.0007733,              0.0007733
                      5,                 1.4268,                 1.7667,                 1.7249,                 1.8037,                0.00586,                    0.9,                0.10118,                0.03904,                0.00195,                    0.3,                0.00128,                0.00034,                 2.1598,                 95.191,                 3.2193,                 4.6638,               0.086846,              0.0008456,              0.0008456
                      6,                 1.4163,                 1.9596,                 1.6774,                 1.8413,                0.50426,                    0.5,                0.49515,                0.12106,                0.00258,                    0.4,                0.00204,                0.00038,                 2.0362,                 218.24,                 2.6606,                 6.3012,               0.083859,              0.0008585,              0.0008585
                      7,                 1.3234,                 1.7352,                 1.4314,                 1.7751,                0.44938,                    0.3,                0.34544,                0.10763,                0.00238,                    0.4,                0.00229,                 0.0009,                 1.8654,                 154.57,                 2.5944,                 3.7662,               0.080812,               0.000812,               0.000812
                      8,                 1.2528,                  1.717,                 1.4344,                 1.6988,                0.18706,                0.11713,                0.35592,                0.10732,                0.00326,                    0.4,                0.00234,                0.00064,                 1.9369,                 142.91,                 2.6648,                 3.9911,               0.077706,              0.0007061,              0.0007061
                      9,                 1.1648,                  1.354,                 1.2785,                 1.5438,                0.63676,                0.18205,                 0.4834,                0.15747,                0.00459,                    0.3,                0.00569,                0.00209,                 1.8309,                 93.196,                 2.7997,                 3.1407,               0.074541,              0.0005408,              0.0005408
                     10,                 1.0594,                 1.0898,                   1.15,                 1.4297,                0.63809,                0.18286,                0.45056,                0.19415,                0.00988,                    0.5,                0.01045,                0.00301,                 1.8771,                 67.661,                 2.7936,                 2.9829,               0.071316,              0.0003161,              0.0003161
